section,obj_num,objective,kr_num,kr_label,kr_text,active
TS Group,1,Establish Kompato as the leader in AI consumer debt collections in the US,1,TS Group > O1 > KR1,Onboard 50% of the top 30 US debt buyers (our beachhead),TRUE
TS Group,1,Establish Kompato as the leader in AI consumer debt collections in the US,2,TS Group > O1 > KR2,Becoming a top-2 best performing vendor for the top 10 debt buyers,TRUE
TS Group,1,Establish Kompato as the leader in AI consumer debt collections in the US,3,TS Group > O1 > KR3,Successful case study of AI first-party collections with a leading fintech lender (expansion),TRUE
TS Group,1,Establish Kompato as the leader in AI consumer debt collections in the US,4,TS Group > O1 > KR4,Become top of mind of the top 100 creditors for superior collections performance,TRUE
TS Group,2,Scale up the EVO co-lending business in Vietnam,1,TS Group > O2 > KR1,Become the preferred financing partner for retail chains for consumers' emerging needs,TRUE
TS Group,2,Scale up the EVO co-lending business in Vietnam,2,TS Group > O2 > KR2,Build team and capability for acquiring credit cards and cash loans at scale through partnerships,TRUE
TS Group,2,Scale up the EVO co-lending business in Vietnam,3,TS Group > O2 > KR3,Scale EVO cash loans with Mirae Asset to $60 million,TRUE
TS Group,2,Scale up the EVO co-lending business in Vietnam,4,TS Group > O2 > KR4,Prove and scale new cross-sell credit partnership model for banks' existing customer bases with MB Bank,TRUE
TS Group,3,Transform Trusting Social into an AI-Fusion Organization,1,TS Group > O3 > KR1,Increase the speed of delivery by 40% per month in Q2,TRUE
TS Group,3,Transform Trusting Social into an AI-Fusion Organization,2,TS Group > O3 > KR2,AI delivers 90% of the outputs in Q4 in Kompato and EVO,TRUE
TS Group,3,Transform Trusting Social into an AI-Fusion Organization,3,TS Group > O3 > KR3,Reskill staff and reorganize the company to be Fusion-ready,TRUE
TS Group,3,Transform Trusting Social into an AI-Fusion Organization,4,TS Group > O3 > KR4,Real-time OODA loop for 95% of business processes (Observe-Orient-Decide-Act),TRUE
TS Group,4,Scale up Sophia (RM AI Agent) in Vietnam and prove Product/Market Fit in SEA & Mexico,1,TS Group > O4 > KR1,Scale capabilities to be the #1 revenue-generating partner for VPBank and ACB in 2026,TRUE
TS Group,4,Scale up Sophia (RM AI Agent) in Vietnam and prove Product/Market Fit in SEA & Mexico,2,TS Group > O4 > KR2,Onboard at least 50% of the top 10 commercial banks in Vietnam,TRUE
TS Group,4,Scale up Sophia (RM AI Agent) in Vietnam and prove Product/Market Fit in SEA & Mexico,3,TS Group > O4 > KR3,At least two successful lighthouse clients in the Philippines Indonesia and Mexico,TRUE
TS Group,5,Refresh the Enterprise business with the Identity and Trust Platform,1,TS Group > O5 > KR1,Identity and Trust platform for banks: bundle identity fraud database credit scores mule detection custom scorecards,TRUE
TS Group,5,Refresh the Enterprise business with the Identity and Trust Platform,2,TS Group > O5 > KR2,Re-organize teams to facilitate cross-country strategy and collaboration,TRUE
US Kompato,1,Reach Kompato profitability in Q4,1,US Kompato > O1 > KR1,Reach $300K/month in revenue with Gross Margin > 20% in June,TRUE
US Kompato,1,Reach Kompato profitability in Q4,2,US Kompato > O1 > KR2,Reach $800K/month in revenue in September with 30% gross margin (US-only breakeven),TRUE
US Kompato,1,Reach Kompato profitability in Q4,3,US Kompato > O1 > KR3,Reach $2M/month in revenue in December and EBITDA breakeven by Q4 (all-in),TRUE
US Kompato,2,Establish Kompato as the category leader in AI debt collections in the US,1,US Kompato > O2 > KR1,Onboard 12 debt buyers representing 50% of the industry's commission pool (3 of 5 top + 10 more),TRUE
US Kompato,2,Establish Kompato as the category leader in AI debt collections in the US,2,US Kompato > O2 > KR2,Onboard 5 lenders for third-party collections and get to contracting stage with 5 more,TRUE
US Kompato,2,Establish Kompato as the category leader in AI debt collections in the US,3,US Kompato > O2 > KR3,Onboard 5 lenders for first-party collections,TRUE
US Kompato,2,Establish Kompato as the category leader in AI debt collections in the US,4,US Kompato > O2 > KR4,Become a top-2 performing vendor in 80% of all clients,TRUE
US Kompato,3,Build an AI Fusion Agency infrastructure that is ready to scale,1,US Kompato > O3 > KR1,Build scalable and autonomous Digital-AI-Human collections operations for Kompato's third-party,TRUE
US Kompato,3,Build an AI Fusion Agency infrastructure that is ready to scale,2,US Kompato > O3 > KR2,Develop the first-party AI collections platform and integration automation,TRUE
US Kompato,3,Build an AI Fusion Agency infrastructure that is ready to scale,3,US Kompato > O3 > KR3,Build Team AIs running autonomously in 80% of all critical workflows (Coll. Strategy Sales Ops Onboarding CS Reporting),TRUE
US Kompato,3,Build an AI Fusion Agency infrastructure that is ready to scale,4,US Kompato > O3 > KR4,Build real-time decision-making capabilities,TRUE
US Kompato,4,Build market leading Compliance and Audit function,1,US Kompato > O4 > KR1,Compliance AI platform monitoring ≥95% of all business domains in real-time with 99% judgement accuracy,TRUE
US Kompato,4,Build market leading Compliance and Audit function,2,US Kompato > O4 > KR2,Build an Audit AI platform that enables real-time audit,TRUE
Growth Team,1,Win strategic debt-buyer accounts,1,Growth Team > O1 > KR1,Close and launch 10 strategic debt-buyer accounts constituting $400M of available commission pool,TRUE
Growth Team,1,Win strategic debt-buyer accounts,2,Growth Team > O1 > KR2,≥$200M of $400M pool contracted and generating first placements by end of Q2 2026,TRUE
Growth Team,1,Win strategic debt-buyer accounts,3,Growth Team > O1 > KR3,Achieve meeting-to-revenue conversion rate ≥20% across debt-buyer accounts (from 6.9% baseline),TRUE
Growth Team,1,Win strategic debt-buyer accounts,4,Growth Team > O1 > KR4,100% of new debt-buyer opportunities receive documented deal-validation within 60 days of first meeting,TRUE
Growth Team,2,Get to $12 million in ARR (annual run rate) by Q4 2026,1,Growth Team > O2 > KR1,Increase avg % of clients' total debt placed with Kompato from 5% to 20% across accounts live 180+ days,TRUE
Growth Team,2,Get to $12 million in ARR (annual run rate) by Q4 2026,2,Growth Team > O2 > KR2,Achieve top-2 performing vendor status (by recovery rate or ROI) in ≥80% of accounts live 90+ days,TRUE
Growth Team,2,Get to $12 million in ARR (annual run rate) by Q4 2026,3,Growth Team > O2 > KR3,Reduce median days from qualified to signed from 102 days to 71 days (30% reduction),TRUE
Growth Team,2,Get to $12 million in ARR (annual run rate) by Q4 2026,4,Growth Team > O2 > KR4,Median time from signed to live ≤60 days (standard) ≤90 days (complex) from 81-day baseline,TRUE
Growth Team,2,Get to $12 million in ARR (annual run rate) by Q4 2026,5,Growth Team > O2 > KR5,90% milestone adherence on all strategic account implementation plans,TRUE
Growth Team,3,Open the lender market for third-party collections,1,Growth Team > O3 > KR1,Close 3P deals with ≥10 lenders weighted toward subprime generating ≥$300K MRR combined,TRUE
Growth Team,3,Open the lender market for third-party collections,2,Growth Team > O3 > KR2,≥3 lender accounts contracted for pre-charge-off collections (early-stage delinquency),TRUE
Growth Team,3,Open the lender market for third-party collections,3,Growth Team > O3 > KR3,≥1 lender account piloting a non-collections customer operations use case,TRUE
Growth Team,3,Open the lender market for third-party collections,4,Growth Team > O3 > KR4,Document and publish lender-specific value proposition and buying motion as repeatable playbook (≥3 closed deals),TRUE
Growth Team,4,Become the recognized category leader in AI-powered collections,1,Growth Team > O4 > KR1,Secure keynote or panel at 2+ tier-1 events (RMAI DCS ACA Annual Lend360),TRUE
Growth Team,4,Become the recognized category leader in AI-powered collections,2,Growth Team > O4 > KR2,Generate 4+ earned media mentions or industry features positioning Kompato as AI collections leader,TRUE
Growth Team,4,Become the recognized category leader in AI-powered collections,3,Growth Team > O4 > KR3,≥30% of qualified H2 leads cite a Kompato event article or thought-leadership piece as contributing factor,TRUE
Growth Team,4,Become the recognized category leader in AI-powered collections,4,Growth Team > O4 > KR4,≥3 inbound conversations with VP+ or C-level buyers citing prior market awareness of Kompato,TRUE
Growth Team,4,Become the recognized category leader in AI-powered collections,5,Growth Team > O4 > KR5,Produce 6+ referenceable proof assets; ≥50% of H2 closed-won deals cite a proof asset,TRUE
Growth Team,5,Build and validate the value proposition for bank collections,1,Growth Team > O5 > KR1,Complete 10+ discovery conversations with bank collections/recovery leaders; document top 3 pain points,TRUE
Growth Team,5,Build and validate the value proposition for bank collections,2,Growth Team > O5 > KR2,Produce bank-specific value narrative validated by ≥2 bank executives or advisors,TRUE
Growth Team,5,Build and validate the value proposition for bank collections,3,Growth Team > O5 > KR3,Advance 3 bank prospects to qualified-to-buy using the new bank messaging,TRUE
Growth Team,5,Build and validate the value proposition for bank collections,4,Growth Team > O5 > KR4,Publish 1 bank-relevant proof asset demonstrating measurable collections impact,TRUE
Sales,1,Debt buyers — Top 30 beachhead,1,Sales > O1 > KR1,Onboard 10 of the top 30 debt buyers including 2 Dream Prospects; close 10 by EOQ3,TRUE
Sales,1,Debt buyers — Top 30 beachhead,2,Sales > O1 > KR2,≥$200M of $400M targeted pool contracted and generating first placements by Q2 2026,TRUE
Sales,1,Debt buyers — Top 30 beachhead,3,Sales > O1 > KR3,Achieve meeting-to-revenue conversion rate ≥20% across debt-buyer accounts,TRUE
Sales,1,Debt buyers — Top 30 beachhead,4,Sales > O1 > KR4,100% of new debt-buyer opportunities receive documented deal-validation within 60 days,TRUE
Sales,1,Debt buyers — Top 30 beachhead,5,Sales > O1 > KR5,Reduce median qualified-to-signed from 102 days to 71 days,TRUE
Sales,2,Lenders — 3rd-party collection,1,Sales > O2 > KR1,Close 3P deals with ≥10 lenders weighted toward subprime generating ≥$300K MRR combined,TRUE
Sales,3,First-party expansion,1,Sales > O3 > KR1,Onboard 2 first-party clients; close 2 by EOQ3,TRUE
Sales,3,First-party expansion,2,Sales > O3 > KR2,≥3 lender accounts contracted for pre-charge-off collections (early-stage delinquency),TRUE
Marketing,1,Generate qualified pipeline through targeted outreach and conference execution,1,Marketing > O1 > KR1,GTM-sourced touchpoints in ≥60% of closed-won accounts; ≥50% cite a proof asset as contributing factor,TRUE
